Data,Open,High,Low,Close,BTC-USD,SMA50,SMA200,RSI,ATR,Volume,VolumeAvg20,Azione,Livello_Rischio
2016-05-10,464.15,465.0,448.2,452.78,452.78,436.3002,404.93825000000004,52.37647347056468,9.950042804112979,6814.25705519,6230.385760848,ACQUISTA,BASSO
2016-05-11,452.77,458.65,452.5,454.37,454.37,437.05440000000004,405.78864999999996,53.45281893515394,9.678611175247765,5746.40549365,6133.0344851,MANTIENI STATO ATTUALE,BASSO
2016-05-12,454.56,456.57,449.27,456.48,456.48,437.83340000000004,406.64619999999996,54.90924244080864,9.508710377015783,6119.04462476,6098.247629783001,ACQUISTA,BASSO
2016-05-13,456.48,458.03,453.84,457.98,457.98,438.73400000000004,407.5006000000001,55.96410199060582,9.128802492943228,5404.20702972,6137.54257058,MANTIENI STATO ATTUALE,BASSO
2016-05-14,457.97,459.83,456.0,458.9,458.9,439.58380000000005,408.31705,56.63419603949667,8.75031660059014,3295.1997074,5992.878016204,MANTIENI STATO ATTUALE,BASSO
2016-05-15,458.9,463.62,458.49,461.47,461.47,440.4738,409.10394999999994,58.53250410716855,8.491722557690844,3269.98252507,5681.710750116,MANTIENI STATO ATTUALE,BASSO
2016-05-16,461.48,461.59,451.48,455.66,455.66,441.08099999999996,409.80185000000006,52.895296379851445,8.607313803570067,6019.17236655,5609.107340355,MANTIENI STATO ATTUALE,BASSO
2016-05-17,455.64,457.49,452.2,454.19,454.19,441.70480000000003,410.4272500000001,51.54272499433925,8.370362817600778,6033.90842585,5329.3278765985,ACQUISTA,BASSO
2016-05-18,454.19,457.88,453.6,455.56,455.56,442.4882,411.1308,52.755233416640195,8.078194044915007,5512.42378222,5222.714460478999,ACQUISTA,BASSO
2016-05-19,455.56,456.41,435.0,438.38,438.38,443.0,411.6753999999999,39.43080254050418,9.030465898849652,8412.58613924,5345.0888999345,MANTIENI STATO ATTUALE,BASSO
2016-05-20,437.91,445.85,435.5,445.65,445.65,443.59240000000005,412.0776,45.68276947457066,9.124718334646108,7178.735362,5468.5111928095,MANTIENI STATO ATTUALE,BASSO
2016-05-21,445.52,446.99,441.88,446.28,446.28,444.1644,412.2885,46.2010081403531,8.837952739314243,3945.71821234,5518.7133094885,MANTIENI STATO ATTUALE,BASSO
2016-05-22,446.27,446.45,440.89,442.48,442.48,444.615,412.4509,43.50477845447794,8.603813257934654,3779.58274056,5322.9820349195,MANTIENI STATO ATTUALE,BASSO
2016-05-23,442.45,446.3,440.79,445.67,445.67,445.12520000000006,412.7432,46.33603956905463,8.382826596653606,5659.42935339,5311.329433403001,MANTIENI STATO ATTUALE,BASSO
2016-05-24,445.56,448.5,440.5,446.99,446.99,445.6756,413.1077,47.50830705469115,8.355481839749778,6536.8124736,5393.993056345001,MANTIENI STATO ATTUALE,BASSO
2016-05-25,446.98,452.42,446.86,451.49,451.49,446.2582,413.4411,51.40552055983098,8.155804565481937,6167.95576946,5435.579849242,MANTIENI STATO ATTUALE,BASSO
2016-05-26,451.45,454.99,449.0,454.97,454.97,446.92839999999995,413.84680000000003,54.23525744810267,8.001104239376085,5843.88197402,5418.0850876855,ACQUISTA,BASSO
2016-05-27,454.97,476.75,454.35,471.27,471.27,447.914,414.30549999999994,64.62581049661965,9.029596793706363,9888.02648828,5739.292401779499,ACQUISTA,MEDIO
2016-05-28,471.21,539.49,470.13,523.25,523.25,449.98939999999993,415.23605,80.12377975208454,13.338911308441624,12107.45659727,6180.886334522,ACQUISTA,ALTO
2016-05-29,523.35,549.99,491.01,525.22,525.22,452.1046,416.29614999999995,80.4729518470079,16.598989072124365,9957.52724318,6384.6156681875,ACQUISTA,ALTO
2016-05-30,525.22,541.0,519.0,532.55,532.55,454.2876,417.27645000000007,81.75711907720432,16.984775566972626,5960.33332201,6341.9194815285,MANTIENI STATO ATTUALE,ALTO
2016-05-31,532.56,544.9,520.01,531.34,531.34,456.43559999999997,418.2428,80.812343267383,17.549434455046008,8491.97268136,6479.197840914,ACQUISTA,ALTO
2016-06-01,531.25,541.5,524.39,534.84,534.84,458.5764,419.24344999999994,81.47904846091612,17.51804627968558,5736.65283224,6460.078251288,MANTIENI STATO ATTUALE,ALTO
2016-06-02,534.85,541.2,531.86,537.87,537.87,460.8222,420.31815,82.06019918363856,16.9339001168509,6329.87872329,6506.3618359665,MANTIENI STATO ATTUALE,ALTO
2016-06-03,538.06,578.0,535.96,571.25,571.25,463.72079999999994,421.50995,86.92688210634805,18.727192965647262,10203.7254522,6851.7881232065,ACQUISTA,ALTO
2016-06-04,571.09,594.64,564.29,576.31,576.31,466.62840000000006,422.70905,87.48128324808745,19.557393468101033,6932.07537817,7034.892765861501,MANTIENI STATO ATTUALE,ALTO
2016-06-05,576.31,585.0,570.22,575.17,575.17,469.46399999999994,423.90745000000004,86.5903331768662,19.216151077522387,4984.2494482,6983.146619943999,MANTIENI STATO ATTUALE,ALTO
2016-06-06,575.17,588.15,575.0,586.77,586.77,472.57939999999996,425.20925000000005,87.93664079408416,18.782854571985073,6791.26453533,7021.014425418,MANTIENI STATO ATTUALE,ALTO
2016-06-07,586.75,590.95,475.0,579.71,579.71,475.55420000000004,426.49585,82.50726500701174,25.723364959700426,10079.83684173,7249.3850783934995,ACQUISTA,ALTO
2016-06-08,579.72,583.99,572.96,583.21,583.21,478.47720000000004,427.7769,83.06547931740386,24.673838891150396,5661.74917272,7111.8432300675,MANTIENI STATO ATTUALE,ALTO
2016-06-09,583.19,583.48,574.0,577.46,577.46,481.16720000000004,429.04564999999997,78.62636885423801,23.588564684639657,4979.63044035,7001.887983985001,MANTIENI STATO ATTUALE,ALTO
2016-06-10,577.47,581.0,573.5,580.31,580.31,483.7284,430.3322,79.21915796398902,22.43938149287968,5659.48661659,7087.5764041975,MANTIENI STATO ATTUALE,ALTO
2016-06-11,580.31,610.0,580.31,609.5,609.5,486.95020000000005,431.7747,84.08709793872812,22.95728281481685,5542.22525864,7175.7085301015,MANTIENI STATO ATTUALE,ALTO
