variant,description,period,start,end,strategy_total_return,strategy_annualized_return,strategy_max_drawdown,strategy_sharpe,strategy_operations,strategy_win_rate,buy_hold_total_return,buy_hold_max_drawdown,delta_total_return,drawdown_improvement
sma50_2d_or_rsi50,Regola attuale piu uscita se Close sotto SMA50 e RSI < 50,2017_bull,2017-01-01,2017-12-31,7.082285390146099,7.12881813671418,-0.3568822990237691,2.9295134165598404,4,0.75,13.180151972080678,-0.3550810193918734,-6.0978665819345785,-0.0018012796318956914
sma50_2d_or_rsi50,Regola attuale piu uscita se Close sotto SMA50 e RSI < 50,2018_bear,2018-01-01,2018-12-31,-0.22749375985545317,-0.22804135578135432,-0.31246194487687917,-1.0615120770418505,2,0.0,-0.7259540472477137,-0.8153271113852912,0.49846028739226056,0.5028651665084121
sma50_2d_or_rsi50,Regola attuale piu uscita se Close sotto SMA50 e RSI < 50,2021_top,2021-01-01,2021-12-31,1.0143232568736185,1.018202253227173,-0.254060535869327,1.602762038384083,3,0.6666666666666666,0.5764351178750771,-0.5306185040984175,0.4378881389985414,0.2765579682290905
sma50_2d_or_rsi50,Regola attuale piu uscita se Close sotto SMA50 e RSI < 50,2022_bear,2022-01-01,2022-12-31,0.0,0.0,0.0,,0,0.0,-0.6529963898562102,-0.6689381539248928,0.6529963898562102,0.6689381539248928
sma50_2d_or_rsi50,Regola attuale piu uscita se Close sotto SMA50 e RSI < 50,2024_2026_recent,2024-01-01,2026-06-23,0.42226821841878803,0.1528371819271248,-0.2599376066374869,0.6332634184702157,13,0.23076923076923078,0.4188771802405924,-0.5120947570953596,0.003391038178195638,0.2521571504578727
sma50_2d_or_rsi50,Regola attuale piu uscita se Close sotto SMA50 e RSI < 50,2025_2026_recent,2025-01-01,2026-06-23,-0.1579486989539658,-0.11008856644887022,-0.16814281432080125,-0.635955162111075,7,0.14285714285714285,-0.3362827761569037,-0.5120947570953596,0.17833407720293792,0.3439519427745583
sma50_2d_or_sma60_2d,Regola attuale oppure Close sotto SMA60 per 2 giorni,full,2015-01-01,2026-06-23,386.7246838101504,0.6804983708560179,-0.4055390625362991,1.4369612720945153,36,0.5,198.42154451778723,-0.8339900882218974,188.30313929236317,0.42845102568559823
sma50_2d_or_sma60_2d,Regola attuale oppure Close sotto SMA60 per 2 giorni,2017_bull,2017-01-01,2017-12-31,7.040617501753985,7.086795517493314,-0.35508101939187375,2.8641274835685007,4,0.75,13.180151972080678,-0.3550810193918734,-6.1395344703266925,-3.3306690738754696e-16
sma50_2d_or_sma60_2d,Regola attuale oppure Close sotto SMA60 per 2 giorni,2018_bear,2018-01-01,2018-12-31,-0.1037617676336946,-0.10403145786576151,-0.23513437526744452,-0.4588199884155443,1,0.0,-0.7259540472477137,-0.8153271113852912,0.6221922796140191,0.5801927361178467
sma50_2d_or_sma60_2d,Regola attuale oppure Close sotto SMA60 per 2 giorni,2021_top,2021-01-01,2021-12-31,1.0688051897085487,1.0729410817579335,-0.254060535869327,1.6528825156253166,3,0.6666666666666666,0.5764351178750771,-0.5306185040984175,0.4923700718334716,0.2765579682290905
sma50_2d_or_sma60_2d,Regola attuale oppure Close sotto SMA60 per 2 giorni,2022_bear,2022-01-01,2022-12-31,0.0,0.0,0.0,,0,0.0,-0.6529963898562102,-0.6689381539248928,0.6529963898562102,0.6689381539248928
